quotes,processed_quotes
"Лучше иметь мало друзей и мало книг, но пусть они будут хорошие", иметь мало друг мало книга пусть хороший 
"И в мире нет таких вершин, что взять нельзя.", мир вершина взять 
"После Бога мы в первую очередь в долгу перед женщиной: сперва она дарует нам жизнь, а потом придает этой жизни смысл.", бог первый очередь долг женщина сперва даровать жизнь придавать жизнь смысл 
"Мужчины, которые не прощают женщинам их маленьких недостатков, никогда не насладятся их великими достоинствами.", мужчина который прощать женщина маленький недостаток наслаждаться великий достоинство 
Но будь сегодня тени рад под ивовым кустом., сегодня тень рад ивовый куст 
Радость делает мальчишкой мудреца., радость делать мальчишка мудрец 
Жизнь пробует достучаться до каждого..., жизнь пробовать достучаться каждый ... 
"Все правильные мысли приходят только после того, как эмоции заканчиваются.", весь правильный мысль приходить эмоция заканчиваться 
"Жизнь не в том, чтобы жить, а в том, чтобы чувствовать, что живешь.", жизнь жить чувствовать жить 
"Человек всегда находит ложь, которая ему необходима, причем так же точно и быстро, как и необходимую ему правду, если вообще ощущает необходимость в правде.", человек находить ложь который необходимый причем точно быстро необходимый правда вообще ощущать необходимость правда 
"Воспитание мужчины или женщины проверяется тем, как они ведут себя во время ссоры.", воспитание мужчина женщина проверяться вести время ссора 
"Не ребенок должен вас понимать, а вы ребенка. Только потому что вы были ребенком, а ребенок еще не был взрослым.", ребенок должный понимать ребенок ребенок ребенок взрослый 
В этом мире неверном не будь дураком:, мир неверный дурак 
"Полагаться не вздумай на тех, кто кругом,", полагаться вздумать кругом 
"Друг, возможно, окажется злейшим врагом.", друг возможно оказываться злой враг 
"Не ищи лучшее, а ищи свое. Ведь лучшее не всегда станет твоим, зато свое - всегда лучше...", искать хороший искать свое хороший становиться твой зато свое ... 
"Надо жить, а не киснуть.", жить киснуть 
"Интернет - опасная штука. Гениальная, но опасная", интернет опасный штука гениальный опасный 
Я не люблю мечтать. Мне интересно шаг за шагом идти в неведомое, любить мечтать интересно шаг шаг идти неведомый 
"Чтобы не превратиться в стадо животных, которые существуют только ради самих себя, нужно развивать и всячески поддерживать свою культуру.", превращаться стадо животное который существовать ради нужно развивать всячески поддерживать свой культура 
"Когда у вас вместо головы задница, нет необходимости искать на ней лоб, чтоб в него стучаться.", вместо голова задница необходимость искать лоб стучаться 
"Мне никогда не нравилось, как я выгляжу. Полное отсутствие самодовольства. И так будет, видимо, всю жизнь.", нравиться выглядеть полный отсутствие самодовольство видимо весь жизнь 
"Люди становятся все более озлобленными, а религии не учат состраданию, а превращают их в стадо овец.", человек становиться озлобленный религия учить сострадание превращать стадо овца 
С самого низа все пути ведут наверх., самый низ весь путь вести наверх 
"Я верю в Бога и считаю, что он есть в каждом человеке.", верить бог считать каждый человек 
"Согрешив, ни к чему себя адом стращать!", согрешать ад стращать 
Стать безгрешным не надо себе обещать!, становиться безгрешный обещать 
Для чего милосердному Богу безгрешник!, милосердный бог безгрешник 
"Грешник нужен Всевышнему, чтобы прощать!", грешник нужный всевышний прощать 
"1. спасение благодаря терпению,", 1 спасение благодаря терпение 
2. величие благодаря щедрости, 2 величие благодаря щедрость 
3. победу благодаря справедливости., 3 победа благодаря справедливость 
Сердце можно лечить только сердцем., сердце лечить сердце 
"Мне нужно идти. В движении чувства не так душат, как ночью, когда ворочаешься в постели, собирая одеяло в плотный комок, чтобы было кого обнимать во сне.", нужно идти движение чувство душить ночь ворочаться постель собирать одеяло плотный комок обнимать сон 
Голодный желудок и пустой кошелек преподают лучшие уроки жизни., голодный желудок пустой кошелек преподавать хороший урок жизнь 
"Не додумывай слишком много. Так ты создаешь проблемы, которых изначально не было.", додумывать слишком создавать проблема который изначально 
"Всю жизнь я страшно боюсь глупых. Особенно баб. Никогда не знаешь, как с ними разговаривать, не скатываясь на их уровень.", весь жизнь страшно бояться глупый особенно баба знать разговаривать скатываться уровень 
"Легче разбить человеку сердце, чем удержать его в руках счастья.", легко разбивать человек сердце удерживать рука счастие 
"В жизни ни к чему нельзя привыкать, даже к жизни.", жизнь привыкать жизнь 
Молчание всегда наполнено словами., молчание наполнять слово 
"Те, кто могут говорить, всегда молчат о своих чувствах, а те, кто не могут, всегда хотят высказаться.", мочь говорить молчать свой чувство мочь хотеть высказываться 
"Лесть всегда пройдет во все врата, а перед правдой закрывают даже двери.", лесть пройти весь врата правда закрывать дверь 
Справедливость не любит шума революций., справедливость любить шум революция 
"Всех нас ждали великие дела. Правда, не всем сказали - где.", весь ждать великий дело правда сказать 
Путь к сердцу непутевого лежит через женский навигатор., путь сердце непутевый лежать женский навигатор 
Отсутствие таланта высоким рейтингом не заменить., отсутствие талант высокий рейтинг заменять 
"Качество которое я больше всего ценю в людях, это порядочность.", качество который ценить человек это порядочность 
"Всегда был рад, когда меня узнавали незнакомые люди на улице, подходили и благодарили. Вот это самое главное счастье для актера.", рад узнавать незнакомый человек улица подходить благодарить это самый главное счастие актер 
Твои привычки определяют твои результаты., твой привычка определять твой результат 
"Будьте осмотрительны в своих делах, мир полон обмана. Но не будьте слепы к добродетели; другие люди стремятся к великим идеалам, и повсюду жизнь полна героизма.", осмотрительный свой дело мир полный обман слепой добродетель человек стремиться великий идеал повсюду жизнь полный героизм 
"Будьте самим собой. Не играйте в дружбу. Не будьте циничны в любви - в сравнении с пустотой и разочарованием она так же вечна, как трава.", играть дружба циничный любовь сравнение пустота разочарование вечный трава 
Этот текст был найден в Балтиморе в 1962 году в одной старой церкви., текст находить балтимор 1962 год старый церковь 
"Невыносимой мукою томим Тот, кто во всем завидует другим. Всю жизнь тоской и злобою дыша, Затянута узлом его душа.", невыносимый мука томить завидовать весь жизнь тоска злоба дышать затягивать узел душа 
"Кто счастлив сам, другим зла не желает.", счастливый зло желать 
"Словно жадная муха, рискуя собой.", словно жадный муха рисковать 
"Лучше пусть у айяма ни крошки не будет,", пусть айям крошка 
Чем подлец его будет кормить на убой!, подлец кормить убой 
"Настоящая любовь не та, что выдерживает долгие годы разлуки, а та, что выдерживает долгие годы близости.", настоящий любовь выдерживать долгий год разлука выдерживать долгий год близость 
"Гнев отнимает разум у людей,", гнев отнимать разум человек 
"И даже тот, кто праведнее всех,", праведный весь 
Во власти злобы совершает грех., власть злоба совершать грех 
"Сплетничайте про меня что угодно,Я НЕ ЖАДИНА!!!!!", сплетничать угодно жадина !!!!! 
Всегда есть выбор. И всегда проблема в самом выборе., выбор проблема выбор 
"Для того, чтобы жить счастливо и свободно, надо всего лишь принести в жертву скуку. Но эта жертва удается не всегда и не всем.", жить счастливо свободно лишь приносить жертва скука жертва удаваться 
"Если человек хочет сам управлять своей жизнью, то должен уметь справляться сам со своими проблемами.", человек хотеть управлять свой жизнь должный уметь справляться свой проблема 
"Моя родина там,где я живу.", родина жить 
"И каждый раз, когда я о тебе забываю,", каждый забывать 
Ты появляешься в моей жизни снова..., появляться жизнь снова ... 
"Рогатых мужей меньше, чем разочарованных жен.", рогатый муж мало разочаровывать жена 
Каждое поколение имеет свои взгляды на жизнь и на профессию., каждый поколение иметь свой взгляд жизнь профессия 
"Сомнения, как и зыбучие пески, что на них ни построй - все рухнет.", сомнение зыбучий песок построить рухнуть 
"Если чего я и хочу, так это, чтобы люди знали и помнили мой голос, а не зачитывались баснями и сплетнями вокруг моего имени.", хотеть это человек знать помнить голос зачитываться басня сплетня вокруг имя 
Всегда выбирайте самый трудный путь - на нем вы не встретите конкурентов., выбирать самый трудный путь встречать конкурент 
"...Потому мы радуемся, попадая в природу, что тут мы приходим в себя.", ... радоваться попадать природа приходить 
Использование своих прав следует считать своей обязанностью., использование свой право следовать считать свой обязанность 
"Парни! Дарите любимым девушкам цветы, а не слезы.", парень дарить любимый девушка цветок слеза 
Не всякое пресмыкающееся ползает., всякий пресмыкающееся ползать 
Есть ль у дьявола свое радио? Да! Это сплетни., ль дьявол свой радио это сплетня 
"...человек, испытавший настоящую любовь, непременно полюбит снова...", ... человек испытывать настоящий любовь непременно полюбить снова ... 
"Знать цель, к которой ты стремишься, это - рассудительность; достигнуть этой цели, это - верность взгляда; остановиться на ней, это - сила; попасть далее цели, это - дерзость.", знать цель который стремиться это рассудительность достигать цель это верность взгляд останавливаться это сила попадать далее цель это дерзость 
Если случиться.. я умру. за свою семью..., случаться .. умирать свой семья ... 
"Кто готов с улыбкой отпустить, того пытаются удержать.", готовый улыбка отпускать пытаться удерживать 
"Если от тебя бегут, не нужно гнаться. В погоне можно пропустить, самое интересное.", бежать нужно гнаться погоня пропустить самый интересный 
"Если вы сможете заставить девушку смеяться, то вы сможете делать с ней все, что угодно.", смочь заставлять девушка смеяться смочь делать угодно 
"Остерегайтесь тех, кто хочет вменить вам чувство вины, ибо они жаждут власти над вами.", остерегаться хотеть вменять чувство вина ибо жаждать власть 
"Я знаю только то, что ничего не знаю.", знать ничто знать 
"В любовных отношениях нельзя щадить друг друга, так как это может привести лишь к отчуждению. Если есть трудности, их надо преодолевать.", любовный отношение щадить друг друг это мочь приводить лишь отчуждение трудность преодолевать 
"Для уничтожения народа нет необходимости идти на него с войной, достаточно уничтожить нравственность этого народа.", уничтожение народ необходимость идти война достаточно уничтожать нравственность народ 
"Мне главное, не сдаться, в пути что-бы не сломаться.. и страх в своей душе сдавить, до цели что-бы добраться...", главное сдаваться путь сломаться .. страх свой душа сдавливать цель добираться ... 
"Кто хочет - ищет способ, кто не хочет - ищет причину.", хотеть искать способ хотеть искать причина 
Ловите хорошее настроение - оно так редко посещает нас., ловить хороший настроение оно редко посещать 
"Имей сердце, имей душу и будешь человеком во всем.", иметь сердце иметь душа человек 
"Лучшее,что можно сделать своему ребенку-родить его не от дурака.", хороший сделать свой ребенок рожать дурак 
Извлечь из дружбы кроме дружбы что-то., извлекать дружба кроме дружба что-то 
Счастье - это хорошее здоровье и плохая память., счастие это хороший здоровье плохой память 
Наша любовь соразмерна нашей вере., наш любовь соразмерный наш вера 
Иногда можно молчать о многом., молчать многое 
"Не так сложно убежать от себя, как прийти к себе настоящему.", сложный убегать приходить настоящий 
"Смеяться, петь и танцевать. Это основное оружие против старения.", смеяться петь танцевать это основной оружие против старение 
"Должен быть непрестанный духовный рост, самосовершенствование. Насколько могу, я это делаю. Вера имеет великую силу. Нужно верить в Бога и, конечно, молиться.", должный непрестанный духовный рост самосовершенствование насколько мочь это делать вера иметь великий сила нужно верить бог молиться 
"Кто любит цветы, тот не может быть злым.", любить цветок мочь злой 
"Ты нравился мне больше, когда мне врал", нравиться врать 
"И зачем только я сказала, чтоб ты перестал!", сказать переставать 
"Лучше быть одиноким, чем водиться с кем попало.", одинокий водиться попадать 
"Не ставьте себе слишком большие цели, в них могут легко попасть другие.", ставить слишком большой цель мочь легко попадать 
Несбывшиеся желания хранятся в тощем кошельке., несбывшийся желание храниться тощий кошелек 
"Я могу сниматься в любом состоянии. Другое дело, как меня воспринимает съемочная группа в любом состоянии!", мочь сниматься любой состояние дело воспринимать съемочный группа любой состояние 
Не можешь сделать женщину счастливой - не мешай другому., мочь сделать женщина счастливый мешать 
"Любое предательство заглушает голос совести,и чувство осознания вины-отсутствует у таких людей.", любой предательство заглушать голос совесть чувство осознание вина отсутствовать человек 
"Человек, находящийся на самой вершине горы не упал туда с неба.", человек находиться самый вершина гора упасть туда небо 
"У каждого из нас есть свои машины времени. Какие-то готовы отправить нас назад, и они называются воспоминания. Какие-то готовы отправить нас вперед, и они называются мечты.", каждый свой машина время какой-то готовый отправлять назад называться воспоминание какой-то готовый отправлять вперед называться мечта 
Любовь - это когда кто-то может вернуть человеку самого себя., любовь это кто-то вернуть человек 
Отчего Всемогущий Творец наших тел, отчего всемогущий творец наш тело 
Даровать нам бессмертия не захотел?, даровать бессмертие захотеть 
"Предательство-это,когда ты любишь одну,а живешь с другой.", предательство это любить жить 
"Время, потерянное с удовольствием, не считается потерянным.", время потерять удовольствие считаться потерять 
"Чаще навещайте своих друзей: тропинки, по которым не ходят, зарастают чертополохом и колючками.", часто навещать свой друг тропинка который ходить зарастать чертополох колючка 
Старость и является самой страшной и неизлечимой болезнью., старость являться самый страшный неизлечимый болезнь 
"Если добродетель не может существовать, то, по крайней мере, порок должен быть наказан.", добродетель мочь существовать крайний мера порок должный наказывать 
"Не может же правительство обвинить само себя! Чтобы оправдаться перед массами, надо свалить на кого-то вину, отвлечь внимание.", мочь правительство обвинять оправдываться масса сваливать кто-то вина отвлекать внимание 
"Беспокоит,обычно, не секс, а его отсутствие.", беспокоить обычно секс отсутствие 
Даже ошибки порой приводят к положительному результату., ошибка пора приводить положительный результат 
"Тот, кто больше всех знает, скромнее всех.", знать скромный 
"Борьба и алчность обращают высочайшие открытия в зло, увеличивая сумму человеческого страдания.", борьба алчность обращать высокий открытие зло увеличивать сумма человеческий страдание 
"Когда ты делаешь что-то для других от души, не ожидая благодарности, кто-то записывает это в книгу судеб и посылает счастье, о котором ты даже не мечтал.", делать что-то душа ожидать благодарность кто-то записывать это книга судьба посылать счастие который мечтать 
"Да, жалок тот, в ком совесть не чиста.", жалкий совесть чистый 
"Доброта для души то же, что здоровье для тела: она незаметна, когда владеешь ею, и она дает успех во всяком деле.", доброта душа здоровье тело незаметный владеть давать успех всякий дело 
"Постарайтесь получить то, что любите, иначе придется полюбить то, что получили.", постараться получать любить иначе приходиться полюбить получать 
"Никто не хорош настолько, чтобы учить других.", никто хороший настолько учить 
"Легко обмануть глаз, но трудно обмануть сердце.", легко обманывать глаз трудно обманывать сердце 
"Ты становишься на углу оживленной улицы и представляешь, что тебя здесь нет.", становиться угол оживленный улица представлять 
"Когда состояние пришло в упадок, тогда и друзья начинают разбегаться.", состояние приходить упадок друг начинать разбегаться 
"В наше время умножились слова и книги, но умалились жизненные опыты.", наш время умножаться слово книга умаляться жизненный опыт 
"Терпение начинается с любви. Чтобы ты терпел человека, тебе должно быть за него больно.", терпение начинаться любовь терпеть человек должно больно 
Покаянием уничтожается зло., покаяние уничтожаться зло 
"Болтливость - это не много слов, это много ненужных слов.", болтливость это слово это ненужный слово 
"От зависти не умирают, но спят - плохо.", зависть умирать спать плохо 
"Первыми пьют воду верблюды, потому как у них рук нет. Вторыми пьют мужчины, потому как у них терпения нет. Последними пьют женщины.", первый пить вода верблюд рука второй пить мужчина терпение последний пить женщина 
"Смешнее всего выглядит тот, кто боится выглядеть смешным.", смешно выглядеть бояться выглядеть смешной 
"Как ни крутись, а с лучшей стороны увидят тебя далеко не все.", крутиться хороший сторона увидеть далеко 
Где ум участлив - глупый только суетлив..., ум участливый глупый суетливый ... 
"Смерти меньше всего боятся те люди, чья жизнь имеет наибольшую ценность.", смерть мало бояться человек чей жизнь иметь большой ценность 
"Мы пьем не потому, что тянемся к веселью,", пить тянуться веселие 
И не разнузданность себе мы ставим целью., разнузданность ставить цель 
Мы от самих себя хотим на миг уйти, хотеть миг уходить 
И только потому к хмельному склонны залью., хмельный склонный заливать 
"Человек находит время для всего, что он действительно хочет.", человек находить время действительно хотеть 
"Ты можешь убежать от обстоятельств и людей, но ты никогда не убежишь от своих мыслей и чувств.", мочь убегать обстоятельство человек убегать свой мысль чувство 
"Некоторые думают, что они активно живут. На самом деле они лишь неутомимо суетятся.", некоторые думать активно жить самый дело лишь неутомимо суетиться 
"Влюбленный слеп. Но страсти зримый след Ведет его, где зрячим хода нет.", влюбленный слепой страсть зримый след вести зрячий ход 
Добро и зло враждуют: мир в огне., добро зло враждовать мир огонь 
Проклятия и яростные гимны, проклятие яростный гимн 
Не долетают к синей вышине., долетать синий вышина 
"Слышал я, что в раю, мол, сады и луга,", слышать рай мол сад луг 
"Реки меда, кисельные, мол, берега.", река мед кисельный мол берег 
Дай мне чашу вина! Не люблю обещаний., давать чаша вино любить обещание 
Мне наличность презренная дорога., наличность презренный дорога 
"Через 5, 10, 15 лет, мы будем больше сожалеть, о том, чего не сделали, нежели, о том, что сделали....Сделайте правильный вывод.", 5 10 15 год сожалеть сделать нежели сделать .... сделать правильный вывод 
"Мало найти свое место в жизни, надо найти его первым.", мало находить свой место жизнь находить первый 
У каждого есть время для безумства., каждый время безумство 
"В историю трудно войти, но легко вляпаться.", история трудно входить легко вляпываться 
"Люди имеют две стороны, лицевую-аверс, и оборотную-реверс. С одной стороны добрые и пушистые, а с другой...... я думаю вы сами знаете......", человек иметь сторона лицевой аверс оборотный реверс сторона добрый пушистый ...... думать знать ...... 
"Существует только один путь к спокойствию - прекратить переживать о тех вещах, которые нельзя изменить.", существовать путь спокойствие прекращать переживать вещь который изменять 
"Я решительно не доверяю любви с первого взгляда, но я всецело верю в любовь проверенную временем.", решительно доверять любовь первый взгляд всецело верить любовь проверенный время 
Пустота с пустотой о пустом пустословят., пустота пустота пустой пустословить 
"Часто люди стараются промолчать вовсе не потому, что им совершенно нечего сказать, а как раз наоборот.", часто человек стараться промолчать вовсе совершенно нечего сказать наоборот 
"Кто краток, тот будет друзьями любим", краткий друг любить 
И людям приятно общение с ним., человек приятный общение 
"Страсть не может с глубокой любовью дружить, Если сможет, то вместе недолго им быть.", страсть мочь глубокий любовь дружить смочь вместе недолго 
"Там, где кончается терпение, начинается выносливость.", кончаться терпение начинаться выносливость 
"Если у тебя есть человек, которому можно рассказать сны, ты не имеешь права считать себя одиноким...", человек который рассказывать сон иметь право считать одинокий ... 
"В каждой женщине спит ангел, принцесса и дьявол. Ту, которую разбудишь, будет твоей.", каждый женщина спать ангел принцесса дьявол который разбудить твой 
"Главное не скорость, а направление.", главное скорость направление 
"Красота есть во всем, но не всем дано это видеть.", красота давать это видеть 
"Фальшивых людей опаснее иметь друзьями, чем врагами.", фальшивый человек опасно иметь друг враг 
"Всегда можно закрыть глаза на то, что видишь, но нельзя закрыть сердце на то, что чувствуешь.", закрывать глаз видеть закрывать сердце чувствовать 
"Я не молился Богу. Я не молился Ему тридцать семь лет, почти не вспоминал Его. Я Его отверг. Я сам был бог, богочеловек. Сейчас я постиг малую толику своего заблуждения.", молиться бог молиться тридцать семь год вспоминать отвергать бог богочеловек постигать малый толика свой заблуждение 
"Царят на свете три особы,", царить свет особа 
"Зовут их: Зависть, Ревность, Злоба.", звать зависть ревность злоба 
"да я скучаю по тебе. отрицать не буду, но уже ничего здесь не изменить. я постепенно забываю человека которого мне так хотелось любить.", скучать отрицать ничто изменять постепенно забывать человек который хотеться любить 
"Если ты найдешь место для души,не факт ,что душа найдет свое место!", находить место душа факт душа находить свой место 
"Первая любовь, она же всегда и последняя.", первый любовь последний 
"Если ты простил человеку все, значит с ним покончено.", прощать человек значит покончить 
"Кто в беде покинул друга, сам узнает горечь бед.", беда покидать друг узнавать горечь беда 
"Есть ли в твоей жизни человек, перед которым ты не боишься быть маленьким, глупым, безоружным, во всей наготе своего откровения? Этот человек и есть твоя защита.", твой жизнь человек который бояться маленький глупый безоружный весь нагота свой откровение человек твой защита 
"Жизнь коротка - нарушай правила - Прощай быстро - Целуй медленно - Люби искренн - Смейся неудержимо . И никогда не сожалей о том, что заставило тебя улыбнуться.", жизнь короткий нарушать правило прощать быстро целовать медленно любить искренн смеяться неудержимо сожалеть заставлять улыбаться 
"А все-таки здорово, по утрам, стоя у окна с чашкой кофе ловить себя на мысли, что замечательно жить...Ну, здравствуй бешеный мир!", все-таки здорово утро стоять окно чашка кофе ловить мысль замечательно жить ... здравствовать бешеный мир 
"Друзья иногда причиняют сильнее боль,чем враги.", друг причинять сильно боль враг 
В учении нельзя останавливаться., учение останавливаться 
"Молитва должна совершаться с болью в сердце о том, о ком молишься. Знаешь какой силой она тогда обладает?", молитва должный совершаться боль сердце молиться знать сила обладать 
"Какая разница, что говорят у тебя за спиной, если никто не смеет сказать в лицо...", разница говорить спина никто сметь сказать лицо ... 
"Жить надо так, чтобы тебя помнили и сволочи.", жить помнить сволочь 
"Счастье благотворно для тела, но только горе развивает способности духа.", счастие благотворно тело горе развивать способность дух 
"Довольно трудно продолжать хорошо относиться к тем, кто уже не относится хорошо к тебе.", довольно трудно продолжать относиться относиться 
"Этот мир наполнен лучами солнца и луны, а человек погрузил голову в колодец и спрашивает: «Говорят, будто существует свет, если это правда, так где же он?»", мир наполнять луч солнце луна человек погружать голова колодец спрашивать : « говорить существовать свет это правда »  
"Твой человек не тот, кому «с тобой хорошо» - с тобой может быть хорошо сотне людей. Твоему «без тебя плохо».", твой человек  « » -  мочь хороший сотня человек твой  « плохо » 
"Не спеши прогонять от себя моменты одиночества. Быть может, это самый большой дар Вселенной - оградить тебя ненадолго от всего лишнего, чтобы позволить тебе стать самим собой.", спешить прогонять момент одиночество мочь это самый большой дар вселенная ограждать ненадолго лишний позволять становиться 
"Иногда стоит совершить ошибку, хотя бы ради того, чтобы знать почему ее не следовало совершать.", стоить совершать ошибка хотя ради знать почему следовать совершать 
"Я абсолютно не гость на канале Культура. Это нонсенс! Потому что я знаю гораздо больше во всех областях нашей культуры, чем многие яйцеголовые.", абсолютно гость канал культура это нонсенс знать гораздо весь область наш культура многий яйцеголовый 
"Кто своих действий не стыдится, тот за собой следов не заметает.", свой действие стыдиться след заметать 
"Закрыл рот, и открыл себе дорогу в жизнь.", закрывать рот открывать дорога жизнь 
